XDATA: SWIM
SECS,KM,TYPE,DURATION,TURN_TIME,SWIM_TIME,STROKES,REST
1 , 0, 1,39.78,8.78,31.00,16,0.00 
2 , 0, 1,44.02,7.13,36.89,17,0.00 
3 , 0, 1,41.54,8.37,33.17,15,0.00 
4 , 0, 1,40.92,10.54,30.38,13,0.00 
5 , 0, 3,49.29,10.23,39.06,13,0.00 
6 , 0, 2,57.04,4.03,53.01,29,0.00 
7 , 0, 2,54.87,0.00,41.54,22,0.00 
8 , 0, 2,54.25,12.40,41.85,23,28.52
9 , 0, 1,22.32,0.00,22.32,11,43.40
10 , 0, 1,34.41,0.00,34.41,15,19.84
11 , 0, 1,30.38,0.00,30.38,13,31.62
12 , 0, 1,31.31,0.00,31.31,13,31.93
13 , 0, 1,32.86,0.00,32.86,14,33.17
14 , 0, 1,31.00,0.00,31.00,13,19.84
15 , 0, 2,41.54,0.00,41.54,23,22.94
16 , 0, 2,44.95,0.00,44.95,25,21.08
17 , 0, 2,55.65,10.70,44.95,24,0.00 
18 , 0, 1,50.53,11.78,38.75,16,0.00 
19 , 0, 1,60.76,0.00,46.19,16,30.69
20 , 0, 1,42.78,0.00,42.78,15,27.59
21 , 0, 1,34.41,0.00,34.41,13,24.49
22 , 0, 1,33.79,0.00,33.79,13,29.45
23 , 0, 1,33.48,0.00,33.48,13,21.08
24 , 0, 1,33.79,0.00,33.79,13,20.15
25 , 0, 2,56.42,9.92,46.50,24,0.00 
26 , 0, 2,57.04,9.92,47.12,23,19.53
27 , 0, 1,34.72,0.00,34.72,14,19.53
28 , 0, 1,39.68,0.00,39.68,15,44.95
29 , 0, 1,39.99,0.00,39.99,16,17.98
30 , 0, 1,37.51,0.00,37.51,14,24.18
31 , 0, 1,36.58,0.00,36.58,14,25.73
32 , 0, 1,35.03,0.00,35.03,13,34.41
33 , 0, 1,32.55,0.00,32.55,14,16.74
34 , 0, 2,46.50,0.00,46.50,25,0.00 
35 , 0, 2,61.07,0.00,45.57,24,19.84
36 , 0, 1,32.55,0.00,32.55,13,33.79
37 , 0, 1,35.34,0.00,35.34,14,21.70
38 , 0, 1,31.62,0.00,31.62,11,27.59
39 , 0, 1,47.12,10.85,36.27,13,0.00 
40 , 0, 1,49.29,10.85,38.44,14,32.55
41 , 0, 1,32.24,0.00,32.24,13,18.60
42 , 0, 1,45.26,10.54,34.72,14,0.00 
43 , 0, 3,51.77,0.00,38.13,16,0.00 
44 , 0, 2,57.35,10.54,46.81,25,16.74
45 , 0, 1,36.27,0.00,36.27,14,25.11
46 , 0, 1,31.93,0.00,31.93,12,0.00
